datetime,真实客流,普通ARIMA预测,季节SARIMA预测,上周同时刻基线
2017-08-25 06:00,1861,3351.9621476165266,1374.3959460178974,1874
2017-08-25 07:00,4550,2737.565663078235,3916.105540834683,4344
2017-08-25 08:00,5185,1917.244795480423,4656.072370604397,5275
2017-08-25 09:00,3994,1749.101577492247,3683.8860729139096,3988
2017-08-25 10:00,4198,2442.19600723467,3956.177956962366,4291
2017-08-25 11:00,5222,3948.8647336507074,4877.368247925192,5524
2017-08-25 12:00,6655,6076.433432085022,6248.438527515671,6657
2017-08-25 13:00,7329,8539.661151948241,7304.786925111198,8304
2017-08-25 14:00,7996,11005.953969413065,8139.968633326588,8252
2017-08-25 15:00,9045,13142.017181795676,9603.50400280386,9837
2017-08-25 16:00,11455,14659.332819408131,11609.003341329782,12068
2017-08-25 17:00,20967,15353.238628747496,19252.874658855395,20924
2017-08-25 18:00,22476,15130.56077382818,20820.044294929005,23728
2017-08-25 19:00,12692,14022.130791755631,12571.572057097286,14114
2017-08-25 20:00,12571,12178.520713047068,11876.832992833797,13780
2017-08-25 21:00,14186,9849.589848199745,11985.574212577008,16845
2017-08-25 22:00,8202,7350.622437183225,6658.34814150223,9647
2017-08-26 06:00,1232,5019.645582637628,1660.0471777103382,1292
2017-08-26 07:00,2122,3171.705644869604,3950.2153282868444,2083
2017-08-26 08:00,2899,2056.287939585676,4619.573137443137,2930
2017-08-26 09:00,3471,1823.6346820509443,3690.2165549479582,3375
2017-08-26 10:00,4151,2504.5084267252787,3970.810594967246,4207
2017-08-26 11:00,5567,4006.126662155726,4935.97611353749,5714
2017-08-26 12:00,7571,6124.804521745835,6338.950317539312,7586
2017-08-26 13:00,9702,8573.582991571571,7399.970507529628,9017
2017-08-26 14:00,11805,11021.095117191977,8357.941829702539,11191
2017-08-26 15:00,14148,13136.406137792947,9750.38341861558,12649
2017-08-26 16:00,15745,14633.759868337835,11752.590363088471,14909
2017-08-26 17:00,16135,15311.18110548496,18774.26062377713,15302
2017-08-26 18:00,13505,15077.719344086148,20058.62671986656,13166
2017-08-26 19:00,12717,13965.659041785464,12394.560248767975,12482
2017-08-26 20:00,14649,12126.05728326882,11962.243464910329,14404
2017-08-26 21:00,14830,9808.225340984758,11990.1528313605,14566
2017-08-26 22:00,8227,7325.941139537621,6765.696633682548,8245
2017-08-27 06:00,1081,5014.971592007298,1753.452401394164,1014
2017-08-27 07:00,1742,3187.655189650235,3964.740950257454,1744
2017-08-27 08:00,2628,2090.6881900580374,4611.415073387105,2518
2017-08-27 09:00,3239,1871.8197421205741,3694.644266877044,2989
2017-08-27 10:00,4026,2559.9521877465404,3977.2836890565,3609
2017-08-27 11:00,5675,4061.3266834771875,4955.640447740033,5338
2017-08-27 12:00,7162,6172.297228051025,6368.158989784781,7114
2017-08-27 13:00,9143,8606.952815598583,7430.368266114686,9960
