datetime,真实客流,普通ARIMA预测,季节SARIMA预测,上周同时刻基线
2017-08-25 06:00,4656,1354.9126728935976,4226.003322423733,4621
2017-08-25 07:00,13550,3518.7392772761073,11191.678639591559,13528
2017-08-25 08:00,13772,4608.610837407959,12121.341220081906,14231
2017-08-25 09:00,5868,4465.8521280038585,5336.857269662115,6035
2017-08-25 10:00,3277,4116.487333044858,3175.6178852547673,3404
2017-08-25 11:00,3026,3931.2585677310644,2698.4677953337546,2842
2017-08-25 12:00,3005,3872.165881652565,2903.074071866003,3114
2017-08-25 13:00,2643,3854.6548611435105,2554.111893035455,2695
2017-08-25 14:00,2675,3844.1347214411244,2408.7232149924644,2633
2017-08-25 15:00,2840,3835.6480829141838,2560.9030733731893,2854
2017-08-25 16:00,3818,3830.021930502922,3325.822665319144,3877
2017-08-25 17:00,5467,3826.9341178208806,4590.198333607185,5732
2017-08-25 18:00,4585,3825.3641425185724,3766.95159980518,4549
2017-08-25 19:00,2429,3824.538509469702,2226.2058858871214,2831
2017-08-25 20:00,2169,3824.0738659502367,1917.2133729560217,2386
2017-08-25 21:00,1921,3823.8053859627985,1486.6599826705587,1973
2017-08-25 22:00,680,3823.6525773882727,468.1252777321087,781
2017-08-26 06:00,2279,3823.567512003777,4050.983025298532,2266
2017-08-26 07:00,4234,3823.52055296518,10613.50693333494,4244
2017-08-26 08:00,5197,3823.4945021587127,11455.530262938073,5139
2017-08-26 09:00,4711,3823.4799413626783,5155.531735930222,4513
2017-08-26 10:00,4138,3823.4717805952628,3167.895851114728,3985
2017-08-26 11:00,3616,3823.467214853934,2701.6217598878184,3453
2017-08-26 12:00,3613,3823.464666843413,2878.1922390751733,3510
2017-08-26 13:00,3560,3823.463246116395,2595.321878993449,3382
2017-08-26 14:00,3340,3823.462453459224,2439.944170920484,3023
2017-08-26 15:00,3141,3823.462010844244,2585.6573726862493,3113
2017-08-26 16:00,3341,3823.461763621013,3273.8597680983353,3290
2017-08-26 17:00,3140,3823.4616255635888,4432.938467227351,3251
2017-08-26 18:00,2861,3823.461548489626,3647.194506490025,2756
2017-08-26 19:00,2253,3823.4615054650776,2212.171983378042,2293
2017-08-26 20:00,2310,3823.461481445954,1906.8337874396816,2220
2017-08-26 21:00,1939,3823.461468035637,1491.006248614892,1910
2017-08-26 22:00,796,3823.4614605481947,475.98438505179683,697
2017-08-27 06:00,1635,3823.461456367805,4005.323575726718,1613
2017-08-27 07:00,3092,3823.461454033883,10462.67298994711,3043
2017-08-27 08:00,4194,3823.461452730861,11281.832914819664,4174
2017-08-27 09:00,4072,3823.4614520033806,5108.227371201,3863
2017-08-27 10:00,3718,3823.461451597222,3165.8813200508957,3638
2017-08-27 11:00,3068,3823.46145137046,2702.444568932522,3103
2017-08-27 12:00,3273,3823.461451243857,2871.7010446531863,3096
2017-08-27 13:00,3273,3823.461451173174,2606.0727763729747,2510
2017-08-27 14:00,3016,3823.461451133711,2448.0891213608634,2589
2017-08-27 15:00,2815,3823.4614511116783,2592.1152960617233,2823
2017-08-27 16:00,2969,3823.4614510993774,3260.3036417714666,2919
2017-08-27 17:00,3063,3823.46145109251,4391.912374980578,2656
2017-08-27 18:00,2850,3823.461451088676,3615.952170662994,2522
2017-08-27 19:00,2530,3823.461451086535,2208.5108065490535,2348
2017-08-27 20:00,2319,3823.46145108534,1904.1259520416272,2147
2017-08-27 21:00,1619,3823.4614510846727,1492.1401062968675,1443
2017-08-27 22:00,571,3823.4614510843003,478.03467588121947,492
2017-08-28 06:00,5548,3823.461451084092,3993.4118983662297,5639
2017-08-28 07:00,14531,3823.461451083976,10423.32329814191,11021
