stationID,总进站量,name,中文名
2035,18001188,People's Square,人民广场
2025,11944714,Xujiahui,徐家汇
2050,11893385,Jing'an Temple,静安寺
2019,11388442,East Nanjing Road,南京东路
2043,10338513,Zhongshan Park,中山公园
2041,10044648,West Nanjing Road,南京西路
2034,9884041,Shanghai Railway Station,上海火车站
247,9789529,Lujiazui,陆家嘴
2014,9140069,Hongqiao Railway Station,虹桥火车站
2056,8425592,South Shaanxi Road,陕西南路
2027,8023114,Shanghai South Railway Station,上海南站
2011,8018084,Xinzhuang,莘庄
2010,6828632,Century Avenue,世纪大道
2051,6406513,Yishan Road,宜山路
113,6204227,Lianhua Road,莲花路
2054,6070323,Jiangsu Road,江苏路
237,5959718,Songhong Road,淞虹路
2005,5933375,Hongkou Football Stadium,虹口足球场
240,5851432,Loushanguan Road,娄山关路
2052,5699562,Longyang Road,龙阳路
2028,5502979,South Huangpi Road,黄陂南路
2049,5437572,Pudian Road,浦电路
2055,5358302,Caoyang Road,曹杨路
2009,5340670,Jinshajiang Road,金沙江路
254,5314304,Jinke Road,金科路
937,5278529,Dapuqiao,打浦桥
234,5201489,East Xujing,徐泾东
928,4970203,Qibao,七宝
926,4817337,Jiuting,九亭
248,4800427,Dongchang Road,东昌路
931,4768840,Caohejing Hi-Tech Park,漕河泾开发区
255,4590310,Guanglan Road,广兰路
820,4532929,Shendu Highway,沈杜公路
2029,4475378,Shanghai Indoor Stadium,上海体育馆
941,4319250,Shangcheng Road,商城路
131,4287299,Pengpu Xincun,彭浦新村
2020,4254994,Changshou Road,长寿路
2039,4209317,Hanzhong Road,汉中路
2038,4134271,Caobao Road,漕宝路
932,4060739,Guilin Road,桂林路
253,4053702,Zhangjiang Hi-Tech Park,张江高科
2024,4043910,Zhenping Road,镇坪路
128,4017156,Yanchang Road,延长路
2048,3984388,Longcao Road,龙漕路
2017,3959787,Changshu Road,常熟路
834,3929804,Great World,大世界
925,3920658,Sijing,泗泾
2044,3888939,Hongqiao Road,虹桥路
2036,3859991,Lujiabang Road,陆家浜路
1321,3839541,Jinyun Road,金运路
1137,3722066,Nanxiang,南翔
2015,3713762,Lancun Road,蓝村路
133,3672846,Tonghe Xincun,通河新村
1055,3585692,Yuyuan Garden,豫园
2003,3531848,Zhaojiabang Road,肇嘉浜路
2002,3512874,South Xizang Road,西藏南路
132,3436881,Gongkang Road,共康路
2046,3407333,West Yan'an Road,延安西路
2006,3269911,Dong'an Road,东安路
2032,3234710,Dalian Road,大连路
129,3229219,Shanghai Circus City,上海马戏城
2037,3227844,Jiaotong University,交通大学
2047,3176896,Hailun Road,海伦路
2033,3159185,Jiashan Road,嘉善路
2016,3127336,Yaohua Road,耀华路
130,3082731,Wenshui Road,汶水路
1065,3039868,Jiangwan Stadium,江湾体育场
2008,3037731,Laoximen,老西门
420,2985123,Tangqiao,塘桥
135,2975562,Gongfu Xincun,共富新村
922,2962912,Songjiang University Town,松江大学城
2053,2942135,Xintiandi,新天地
239,2904293,Weining Road,威宁路
924,2890893,Sheshan,佘山
1325,2871525,Zhenbei Road,真北路
2021,2842550,Qufu Road,曲阜路
329,2814785,Jiangwan Town,江湾镇
738,2810294,Changping Road,昌平路
930,2761352,Hechuan Road,合川路
416,2747230,Pudong Avenue,浦东大道
426,2741018,Shanghai Stadium,上海体育场
1326,2735940,Daduhe Road,大渡河路
114,2704333,Jinjiang Amusement Park,锦江乐园
843,2684940,Jiangpu Road,江浦路
2031,2675248,Madang Road,马当路
238,2661816,Beixinjing,北新泾
824,2648776,Luheng Road,芦恒路
2045,2631190,Longhua Middle Road,龙华中路
943,2625568,Middle Yanggao Road,杨高中路
1064,2619590,Wujiaochang,五角场
328,2616628,Dabaishu,大柏树
138,2588817,Fujin Road,富锦路
828,2586208,Chengshan Road,成山路
838,2569747,North Xizang Road,西藏北路
638,2555193,Jinqiao Road,金桥路
423,2547160,Luban Road,鲁班路
733,2545237,Dahua San Road,大华三路
127,2535932,Zhongshan North Road,中山北路
2001,2526382,Zhongtan Road,中潭路
1058,2511536,North Sichuan Road,四川北路
2026,2480551,Tiantong Road,天潼路
256,2414846,Tangzhen,唐镇
250,2405570,Shanghai Science and Technology Museum,上海科技馆
751,2394079,Fanghua Road,芳华路
2013,2389300,Hongqiao Terminal 2,虹桥2号航站楼
827,2367515,Yangsi,杨思
1142,2365038,Shanghai West Railway Station,上海西站
725,2350851,Gucun Park,顾村公园
1131,2309987,North Jiading,嘉定北
732,2307222,Xingzhi Road,行知路
734,2301796,Xincun Road,新村路
1242,2300157,Ningguo Road,宁国路
330,2260698,West Yingao Road,殷高西路
413,2239917,Lingping Road,临平路
840,2237606,Quyang Road,曲阳路
750,2224300,Jinxiu Road,锦绣路
1324,2199827,South Qilianshan Road,祁连山南路
259,2199364,Chuansha,川沙
940,2181827,Xiaonanmen,小南门
1331,2165265,Jiangning Road,江宁路
1629,2164382,Huinan,惠南
1138,2153833,Taopu Xincun,桃浦新村
749,2134812,South Yanggao Road,杨高南路
2018,2129509,Siping Road,四平路
1155,2118830,Sanlin,三林
2007,2118543,Damuqiao Road,大木桥路
1225,2097258,Hongcao Road,虹漕路
136,2079327,Bao'an Highway,宝安公路
1243,2073771,Longchang Road,隆昌路
822,2063555,Jiangyue Road,江月路
251,2036335,Century Park,世纪公园
1141,2008131,Liziyuan,李子园
849,2007346,Shiguang Road,市光路
1047,1997044,Yili Road,伊犁路
845,1991145,Middle Yanji Road,延吉中路
2057,1989608,Longde Road,隆德路
1220,1989456,Qixin Road,七莘路
331,1985674,South Changjiang Road,长江南路
837,1982343,Zhongxing Road,中兴路
844,1978098,Huangxing Road,黄兴路
415,1967573,Yangshupu Road,杨树浦路
1329,1966387,Wuning Road,武宁路
509,1925317,Dongchuan Road,东川路
753,1924337,Huamu Road,花木路
2022,1917752,Jinhai Road,金海路
1062,1912117,Tongji University,同济大学
2004,1904404,Jufeng Road,巨峰路
721,1885580,Meilan Lake,美兰湖
1159,1875387,Yuqiao,御桥
1224,1874315,Hongmei Road,虹梅路
1144,1868605,Fengqiao Road,枫桥路
727,1850062,Shanghai University,上海大学
1134,1834751,Jiading New City,嘉定新城
327,1820427,Chifeng Road,赤峰路
1020,1812832,Longbai Xincun,龙柏新村
821,1807235,Lianhang Road,联航路
1063,1789503,Guoquan Road,国权路
112,1788784,Waihuanlu,外环路
