line,站点数,总进站量,分摊进站量,日均进站量(分摊),单站日均进站量
2,30,156098477,101146970,822333,27411
1,28,134500984,85219099,692838,24744
9,26,91376947,67408186,548034,21078
8,30,87671009,62960993,511878,17063
7,33,81720086,58174069,472960,14332
10,32,85503832,56222787,457096,14284
11,38,73741958,54737587,445021,11711
4,26,105511109,51943059,422301,16242
3,29,92453781,49506589,402493,13879
12,33,78417656,48516044,394439,11953
13,18,52415726,33421644,271721,15096
6,29,45462113,32998921,268284,9251
5,11,18264341,14255299,115897,10536
16,13,16462613,12357363,100466,7728
