name,stationID,聚类簇号,站点类型,日均总客流,周末比,早高峰进站占比,晚高峰进站占比,早高峰出站占比
Waihuanlu,112,3,通勤居住站,53152.05076628353,0.629280363901619,0.18806534321408824,0.0351750877531034,0.05643205121081709
Lianhua Road,113,4,综合枢纽站,191739.1733716475,0.7852859115956071,0.14963640701711006,0.05009794018482278,0.06419333574486748
Jinjiang Amusement Park,114,0,就业办公站,83409.7959770115,0.7645256330481313,0.1549537181284662,0.04978384483564207,0.06348892610479037
Hengshan Road,119,2,休闲商圈站,37434.80172413793,0.728646870835065,0.05904823756351985,0.10862123315904947,0.10798725435516793
Xinzha Road,124,3,通勤居住站,50925.041187739465,0.640710778132589,0.06544237717224512,0.10743085516389136,0.12375382209930644
Zhongshan North Road,127,0,就业办公站,76388.51819923372,0.7586974461163362,0.11826268698322268,0.07178003134010734,0.07610896173980741
Yanchang Road,128,0,就业办公站,119239.90421455938,0.704251904273984,0.11343576510411707,0.0645075710671719,0.07865032411990389
Shanghai Circus City,129,0,就业办公站,91258.4396551724,0.5571954950585252,0.09010597745131133,0.11624197714856853,0.1291106676653044
Wenshui Road,130,0,就业办公站,86324.03448275862,0.5230060332623359,0.07667715965195798,0.12834189687800207,0.13798658906614597
Pengpu Xincun,131,0,就业办公站,127605.69157088123,0.7108436386933534,0.16536029146944736,0.039751696943820164,0.05119700996487683
Gongkang Road,132,0,就业办公站,102289.0929118774,0.72864604447732,0.16497324646340553,0.04211636842072691,0.059599764024084075
Tonghe Xincun,133,0,就业办公站,106617.42145593869,0.657592576178447,0.1910836253361069,0.02848070479022631,0.04852789727488874
Hulan Road,134,3,通勤居住站,45663.87164750958,0.5595327448645064,0.16742680468075247,0.05406865102961037,0.08576619159618318
Gongfu Xincun,135,0,就业办公站,86928.87643678162,0.6558997848130755,0.1815702298389667,0.034269124575963886,0.0535111365129174
Bao'an Highway,136,3,通勤居住站,60508.6091954023,0.6633018835434111,0.2082824511413876,0.02419459669264098,0.0409718361346234
