方法,K,轮廓系数,SSE,BIC,AIC
K-Means,3,0.3734,6615.8,,
GMM,3,0.3681,,-18034.4,-45692.0
层次聚类(Ward),3,0.3642,,,
K-Means,4,0.342,4932.7,,
GMM,4,0.3423,,-17271.7,-54149.6
层次聚类(Ward),4,0.2682,,,
K-Means,5,0.307,4028.1,,
GMM,5,0.3119,,-8171.7,-54270.1
层次聚类(Ward),5,0.2678,,,
K-Means,6,0.2915,3526.9,,
GMM,6,0.2927,,-9687.6,-65006.3
层次聚类(Ward),6,0.2687,,,
K-Means,7,0.2915,3129.4,,
GMM,7,0.2324,,-1710.3,-66249.5
层次聚类(Ward),7,0.2571,,,
K-Means,8,0.2978,2778.7,,
GMM,8,0.2708,,-7838.5,-81598.1
层次聚类(Ward),8,0.2286,,,
