站点,站点类型,方法,MAE,MSE,RMSE,MAPE(%)
人民广场(People's Square·综合枢纽站),综合枢纽站,普通ARIMA,2185.26,8051755.0,2837.56,34.48
人民广场(People's Square·综合枢纽站),综合枢纽站,季节SARIMA,1204.11,3254313.4,1803.97,14.86
人民广场(People's Square·综合枢纽站),综合枢纽站,上周同时刻基线,661.9,937080.5,968.03,6.86
金科路(Jinke Road·就业办公站),就业办公站,普通ARIMA,1723.44,6105215.8,2470.87,83.13
金科路(Jinke Road·就业办公站),就业办公站,季节SARIMA,859.35,2024686.1,1422.91,34.22
金科路(Jinke Road·就业办公站),就业办公站,上周同时刻基线,158.29,76414.7,276.43,7.06
芦恒路(Luheng Road·通勤居住站),通勤居住站,普通ARIMA,987.4,2806392.0,1675.23,198.22
芦恒路(Luheng Road·通勤居住站),通勤居住站,季节SARIMA,358.12,615909.5,784.8,21.65
芦恒路(Luheng Road·通勤居住站),通勤居住站,上周同时刻基线,95.27,89398.0,299.0,8.14
中华艺术宫(China Art Museum·休闲商圈站),休闲商圈站,普通ARIMA,473.99,623777.2,789.8,62.98
中华艺术宫(China Art Museum·休闲商圈站),休闲商圈站,季节SARIMA,375.27,449273.1,670.28,37.85
中华艺术宫(China Art Museum·休闲商圈站),休闲商圈站,上周同时刻基线,284.64,349507.4,591.19,22.05
罗山路(Luoshan Road·郊区低频站点),郊区低频站点,普通ARIMA,185.7,64892.1,254.74,108.96
罗山路(Luoshan Road·郊区低频站点),郊区低频站点,季节SARIMA,85.87,20249.1,142.3,29.06
罗山路(Luoshan Road·郊区低频站点),郊区低频站点,上周同时刻基线,23.64,1014.1,31.84,10.33
