datetime,真实客流,普通ARIMA预测,季节SARIMA预测,上周同时刻基线
2017-08-25 06:00,174,334.7430782108162,0.0,167
2017-08-25 07:00,436,475.93851499255027,203.97247253057608,483
2017-08-25 08:00,475,638.0332175813401,272.8259050109567,524
2017-08-25 09:00,224,583.4595815775994,106.03712708648902,223
2017-08-25 10:00,207,454.78297107402403,100.90739371360831,220
2017-08-25 11:00,306,517.4862142315935,253.67364115610764,396
2017-08-25 12:00,375,681.4587594997759,405.5058899455758,494
2017-08-25 13:00,536,668.2008232023139,535.507300652671,559
2017-08-25 14:00,532,517.13424507224,646.9744053746123,562
2017-08-25 15:00,642,513.2237264959433,794.1481793822878,656
2017-08-25 16:00,791,670.799512626136,1038.0217383522659,856
2017-08-25 17:00,1030,710.0954186908419,1226.3865171116324,1266
2017-08-25 18:00,840,565.6364446254161,865.3994045211541,911
2017-08-25 19:00,599,503.54786345618083,696.0543893522681,606
2017-08-25 20:00,723,638.3243594563871,793.7922201888355,795
2017-08-25 21:00,1132,727.0156363873779,979.4002228987653,996
2017-08-25 22:00,535,611.1539791033299,816.3164988299618,525
2017-08-26 06:00,112,502.87164443149453,133.8966588268744,131
2017-08-26 07:00,179,598.8644386277138,404.58251377107945,188
2017-08-26 08:00,217,724.865371702743,433.3359602925459,249
2017-08-26 09:00,218,653.3534207880651,237.23490267522888,239
2017-08-26 10:00,356,515.3993640811689,208.18536769025314,243
2017-08-26 11:00,655,561.2398801004249,341.49338674812816,435
2017-08-26 12:00,1102,706.970190546356,483.7464170241294,605
2017-08-26 13:00,1472,688.5587653024191,597.831871536676,731
2017-08-26 14:00,1936,540.5512634896604,706.8677647734019,907
2017-08-26 15:00,2461,531.5851175573684,845.2827020028794,1151
2017-08-26 16:00,2685,677.0119799155724,1081.340513571423,1425
2017-08-26 17:00,2748,712.8591403314076,1249.6068584042775,1333
2017-08-26 18:00,2710,575.0905526903931,889.9136814138737,984
2017-08-26 19:00,2475,514.0564082299638,722.6577352517694,1098
2017-08-26 20:00,2148,639.6363114431667,814.440363444601,1413
2017-08-26 21:00,1963,723.4895019838302,1000.0783764781378,1470
2017-08-26 22:00,3575,614.2760175808094,851.5449694835405,4126
2017-08-27 06:00,145,510.815988576452,157.42918618391226,94
2017-08-27 07:00,187,600.1744635627814,423.07833721785397,154
2017-08-27 08:00,245,719.4571279305251,448.1927670498119,202
2017-08-27 09:00,261,652.7580020202417,249.34230835899382,273
2017-08-27 10:00,357,521.959205000723,218.0548282080508,281
2017-08-27 11:00,525,564.0322032194913,349.54501220262586,425
2017-08-27 12:00,894,701.723435720722,490.712059807112,656
2017-08-27 13:00,1198,685.388419932001,603.4081199676162,838
