datetime,真实客流,普通ARIMA预测,季节SARIMA预测,上周同时刻基线
2017-08-25 06:00,326,157.4890696723828,329.769128934469,372
2017-08-25 07:00,778,311.1930864796053,678.818809081906,866
2017-08-25 08:00,712,385.79579890217326,615.229131818305,720
2017-08-25 09:00,314,382.4484993163212,276.9517947349783,287
2017-08-25 10:00,174,332.0508521674789,182.9205578587595,191
2017-08-25 11:00,181,278.89128022450325,180.07356416584102,157
2017-08-25 12:00,151,252.17366468256458,179.27538501932645,175
2017-08-25 13:00,129,256.177047289742,161.49039193838738,179
2017-08-25 14:00,135,277.3010374427864,167.83563801065515,156
2017-08-25 15:00,226,297.95392533824804,191.23206837059465,226
2017-08-25 16:00,406,307.36674583725755,327.654263267341,380
2017-08-25 17:00,1017,304.75099191292077,773.0219129257111,995
2017-08-25 18:00,780,295.98731851910185,655.7880512875356,871
2017-08-25 19:00,352,288.017181175437,312.3585658813365,339
2017-08-25 20:00,202,284.76784934497056,190.70052486516886,231
2017-08-25 21:00,104,286.1973919640119,99.68060994059618,153
2017-08-25 22:00,52,289.79997744367085,31.21901009193862,41
2017-08-26 06:00,213,292.85446655276104,317.24978064078056,203
2017-08-26 07:00,250,293.9469282193544,632.1755049924462,263
2017-08-26 08:00,267,293.23151781798066,581.2862415318956,328
2017-08-26 09:00,287,291.76287226693256,266.01812146429023,273
2017-08-26 10:00,279,290.6007436004671,182.77571353890494,238
2017-08-26 11:00,233,290.2464724913271,178.0428380280241,223
2017-08-26 12:00,185,290.5859514894316,177.16373359140124,229
2017-08-26 13:00,172,291.18005638184326,158.56893204221964,148
2017-08-26 14:00,187,291.6188013589959,166.39868720187135,192
2017-08-26 15:00,169,291.7277233874526,191.25725754585633,152
2017-08-26 16:00,211,291.57233652903494,311.8537241313444,219
2017-08-26 17:00,236,291.3337461380577,740.8935327330476,300
2017-08-26 18:00,237,291.1694818360835,603.9439442899177,221
2017-08-26 19:00,141,291.138823736941,294.5867380581244,137
2017-08-26 20:00,110,291.2080975740973,179.76559828000882,99
2017-08-26 21:00,79,291.30325246356426,95.01713169013631,92
2017-08-26 22:00,32,291.3641907343314,28.792226229440114,28
2017-08-27 06:00,184,291.3714030968672,310.9928402102323,151
