datetime,真实客流,普通ARIMA预测,季节SARIMA预测,上周同时刻基线
2017-08-25 06:00,1834,502.0259759551676,1579.493367649393,1804
2017-08-25 07:00,6322,1296.9944877857288,5193.7726079099975,6357
2017-08-25 08:00,6609,1692.5296142124141,5452.140822040863,6686
2017-08-25 09:00,2173,1677.1667935534183,1837.6804684960678,2009
2017-08-25 10:00,926,1565.624558319366,988.7487933322236,1044
2017-08-25 11:00,866,1459.5330799495082,798.9967668888353,813
2017-08-25 12:00,792,1382.2533795430425,842.298167876565,897
2017-08-25 13:00,679,1332.016140915511,721.9190089220037,753
2017-08-25 14:00,624,1301.3847005348011,619.7946229279453,635
2017-08-25 15:00,724,1283.4674165839424,650.2269972748677,648
2017-08-25 16:00,876,1273.2907876975883,849.1476589048012,977
2017-08-25 17:00,1144,1267.6372635192556,991.338980402058,1143
2017-08-25 18:00,820,1264.5508288025371,738.2028262168243,857
2017-08-25 19:00,497,1262.8896840571883,494.1099443623983,524
2017-08-25 20:00,365,1262.0062848890743,378.49102081871195,447
2017-08-25 21:00,260,1261.5413120636056,262.20034072165356,260
2017-08-25 22:00,102,1261.2987852491938,67.14240074262575,94
2017-08-26 06:00,998,1261.1733080125928,1597.1925164189693,1030
2017-08-26 07:00,1754,1261.1088674288692,4889.426888215149,1771
2017-08-26 08:00,2186,1261.0759983516118,5173.850280059009,2149
2017-08-26 09:00,1655,1261.0593398159856,1787.8174914619174,1761
2017-08-26 10:00,1497,1261.0509481229165,982.1936985735217,1306
2017-08-26 11:00,1179,1261.046745406671,806.7946496942843,1107
2017-08-26 12:00,1309,1261.0446525004866,857.6303578118209,1170
2017-08-26 13:00,1186,1261.043616044604,730.3735905513688,1044
2017-08-26 14:00,1038,1261.0431056007549,636.4479523046912,983
2017-08-26 15:00,954,1261.0428556069814,663.8378320239894,828
2017-08-26 16:00,1046,1261.0427338608597,858.8661455339095,957
2017-08-26 17:00,930,1261.0426749144478,963.5831852554829,806
2017-08-26 18:00,814,1261.042646546028,730.5057390363196,856
2017-08-26 19:00,547,1261.0426329800737,493.1682853078242,596
2017-08-26 20:00,478,1261.0426265365968,381.03056433026126,470
2017-08-26 21:00,385,1261.0426234984625,251.83990027470972,358
2017-08-26 22:00,107,1261.0426220774357,69.59755437467265,94
2017-08-27 06:00,804,1261.0426214187084,1601.4769191438497,769
2017-08-27 07:00,1486,1261.042621116441,4815.754439459776,1351
2017-08-27 08:00,1667,1261.042620979366,5106.484963688457,1602
2017-08-27 09:00,1518,1261.0426209180669,1775.7472457425997,1444
2017-08-27 10:00,1276,1261.0426208911183,980.6069179768326,1252
2017-08-27 11:00,1026,1261.042620879524,808.6822698716306,1055
2017-08-27 12:00,1107,1261.042620874676,861.341794852715,1021
2017-08-27 13:00,1022,1261.0426208727283,732.4201766918349,782
2017-08-27 14:00,929,1261.042620871992,640.479195314598,732
2017-08-27 15:00,851,1261.042620871742,667.1325835538553,792
2017-08-27 16:00,873,1261.0426208716751,861.2186829997913,834
2017-08-27 17:00,785,1261.0426208716704,956.8643873119752,737
2017-08-27 18:00,731,1261.0426208716817,728.6425182838146,725
2017-08-27 19:00,603,1261.0426208716942,492.9403395081832,545
2017-08-27 20:00,426,1261.0426208717038,381.6453072923252,391
