datetime,真实客流,普通ARIMA预测,季节SARIMA预测,上周同时刻基线
2017-08-25 06:00,1328,1947.4034208065952,1184.341620067806,1186
2017-08-25 07:00,4395,3109.630789697049,3737.3314978055787,4617
2017-08-25 08:00,5503,2982.9277030913872,4420.738623486618,5442
2017-08-25 09:00,2016,2189.4857981300697,1834.9962742583002,2063
2017-08-25 10:00,976,1886.9785663039743,988.1083552952102,1029
2017-08-25 11:00,1113,2409.573297895284,1064.3541913607028,1144
2017-08-25 12:00,1437,3007.181688339996,1313.298414449019,1545
2017-08-25 13:00,1246,2931.91824914653,1315.5823784792296,1546
2017-08-25 14:00,1194,2367.6180837826855,1216.1698639746414,1455
2017-08-25 15:00,1713,2078.657685594775,1358.4069775149994,1626
2017-08-25 16:00,2872,2386.0882421540855,2237.559072658976,2884
2017-08-25 17:00,8598,2829.462724532823,6555.352826545104,8505
2017-08-25 18:00,10951,2841.567024627201,8302.606954112425,11340
2017-08-25 19:00,5500,2465.096566219433,4273.953997652204,5585
2017-08-25 20:00,3826,2218.2122080434124,3256.6765868083066,4114
2017-08-25 21:00,3142,2389.301751771939,2349.8044077378026,3337
2017-08-25 22:00,954,2710.59836441198,631.4904710503143,1054
2017-08-26 06:00,759,2764.1460532479573,1085.9130756979914,750
2017-08-26 07:00,1293,2519.4478105623275,3487.526817788607,1346
2017-08-26 08:00,1733,2319.4073084095558,4136.030896439886,1895
2017-08-26 09:00,1807,2405.7641732095703,1796.5166332307465,1790
2017-08-26 10:00,1727,2633.2756036384217,1014.4150869434125,1650
2017-08-26 11:00,1530,2701.33174498483,1071.2289197599073,1439
2017-08-26 12:00,1803,2546.9851756333783,1322.577093673022,1736
2017-08-26 13:00,1888,2391.111831256809,1318.3674899383548,1870
2017-08-26 14:00,1935,2426.9358322532676,1233.841909517686,1753
2017-08-26 15:00,1807,2584.456104055996,1366.7680007459637,1744
2017-08-26 16:00,2220,2652.3362911369436,2199.676075530331,2096
2017-08-26 17:00,2208,2558.5089850524155,6132.191823113443,2190
2017-08-26 18:00,2302,2440.790297442674,7773.823085338348,2226
2017-08-26 19:00,1863,2448.1482547495893,4055.6005747456015,1729
2017-08-26 20:00,1746,2554.7422446026226,3074.2314625722142,1812
2017-08-26 21:00,1882,2615.3026491817322,2233.8567348854085,1901
2017-08-26 22:00,786,2560.9938130146115,614.5958954572384,654
2017-08-27 06:00,479,2474.430955699431,1058.8813568116052,416
2017-08-27 07:00,898,2467.1199630554456,3418.9254528935307,894
2017-08-27 08:00,1329,2537.5140901143304,4057.8449746248784,1271
2017-08-27 09:00,1420,2588.050249232656,1785.9492474569688,1377
2017-08-27 10:00,1462,2558.8049110787692,1021.6392275247765,1461
2017-08-27 11:00,1341,2496.6638213987903,1073.1167683024833,1407
2017-08-27 12:00,1495,2482.976917900759,1325.1251382509292,1440
2017-08-27 13:00,1642,2528.212054814167,1319.1323093650174,1549
2017-08-27 14:00,1693,2568.473097688419,1238.6949371729345,1257
2017-08-27 15:00,1607,2554.569584938564,1369.0640715276056,1417
2017-08-27 16:00,2121,2510.9629891661734,2189.272772179177,1520
2017-08-27 17:00,2044,2495.6247289015178,6015.984777209148,1486
2017-08-27 18:00,1867,2523.7674375521055,7628.6102458417145,1736
2017-08-27 19:00,1632,2554.726011538175,3995.6370953866735,1412
2017-08-27 20:00,1545,2549.7874358059635,3024.128999012591,1383
2017-08-27 21:00,1361,2519.8685003131745,2202.0155767613874,1267
2017-08-27 22:00,510,2505.359352338797,609.9563641527435,548
