stationID,总进站量,name
2035,18001188,People's Square
2025,11944714,Xujiahui
2050,11893385,Jing'an Temple
2019,11388442,East Nanjing Road
2043,10338513,Zhongshan Park
2041,10044648,West Nanjing Road
2034,9884041,Shanghai Railway Station
247,9789529,Lujiazui
2014,9140069,Hongqiao Railway Station
2056,8425592,South Shaanxi Road
2027,8023114,Shanghai South Railway Station
2011,8018084,Xinzhuang
2010,6828632,Century Avenue
2051,6406513,Yishan Road
113,6204227,Lianhua Road
2054,6070323,Jiangsu Road
237,5959718,Songhong Road
2005,5933375,Hongkou Football Stadium
240,5851432,Loushanguan Road
2052,5699562,Longyang Road
2028,5502979,South Huangpi Road
2049,5437572,Pudian Road
2055,5358302,Caoyang Road
2009,5340670,Jinshajiang Road
254,5314304,Jinke Road
937,5278529,Dapuqiao
234,5201489,East Xujing
928,4970203,Qibao
926,4817337,Jiuting
248,4800427,Dongchang Road
931,4768840,Caohejing Hi-Tech Park
255,4590310,Guanglan Road
820,4532929,Shendu Highway
2029,4475378,Shanghai Indoor Stadium
941,4319250,Shangcheng Road
131,4287299,Pengpu Xincun
2020,4254994,Changshou Road
2039,4209317,Hanzhong Road
2038,4134271,Caobao Road
932,4060739,Guilin Road
253,4053702,Zhangjiang Hi-Tech Park
2024,4043910,Zhenping Road
128,4017156,Yanchang Road
2048,3984388,Longcao Road
2017,3959787,Changshu Road
834,3929804,Great World
925,3920658,Sijing
2044,3888939,Hongqiao Road
2036,3859991,Lujiabang Road
1321,3839541,Jinyun Road
1137,3722066,Nanxiang
2015,3713762,Lancun Road
133,3672846,Tonghe Xincun
1055,3585692,Yuyuan Garden
2003,3531848,Zhaojiabang Road
2002,3512874,South Xizang Road
132,3436881,Gongkang Road
2046,3407333,West Yan'an Road
2006,3269911,Dong'an Road
2032,3234710,Dalian Road
129,3229219,Shanghai Circus City
2037,3227844,Jiaotong University
2047,3176896,Hailun Road
2033,3159185,Jiashan Road
2016,3127336,Yaohua Road
130,3082731,Wenshui Road
1065,3039868,Jiangwan Stadium
2008,3037731,Laoximen
420,2985123,Tangqiao
135,2975562,Gongfu Xincun
922,2962912,Songjiang University Town
2053,2942135,Xintiandi
239,2904293,Weining Road
924,2890893,Sheshan
1325,2871525,Zhenbei Road
2021,2842550,Qufu Road
329,2814785,Jiangwan Town
738,2810294,Changping Road
930,2761352,Hechuan Road
416,2747230,Pudong Avenue
426,2741018,Shanghai Stadium
1326,2735940,Daduhe Road
114,2704333,Jinjiang Amusement Park
843,2684940,Jiangpu Road
2031,2675248,Madang Road
238,2661816,Beixinjing
824,2648776,Luheng Road
2045,2631190,Longhua Middle Road
943,2625568,Middle Yanggao Road
1064,2619590,Wujiaochang
328,2616628,Dabaishu
138,2588817,Fujin Road
828,2586208,Chengshan Road
838,2569747,North Xizang Road
638,2555193,Jinqiao Road
423,2547160,Luban Road
733,2545237,Dahua San Road
127,2535932,Zhongshan North Road
2001,2526382,Zhongtan Road
1058,2511536,North Sichuan Road
2026,2480551,Tiantong Road
256,2414846,Tangzhen
250,2405570,Shanghai Science and Technology Museum
751,2394079,Fanghua Road
2013,2389300,Hongqiao Terminal 2
827,2367515,Yangsi
1142,2365038,Shanghai West Railway Station
725,2350851,Gucun Park
1131,2309987,North Jiading
732,2307222,Xingzhi Road
734,2301796,Xincun Road
1242,2300157,Ningguo Road
330,2260698,West Yingao Road
413,2239917,Lingping Road
840,2237606,Quyang Road
750,2224300,Jinxiu Road
1324,2199827,South Qilianshan Road
259,2199364,Chuansha
940,2181827,Xiaonanmen
1331,2165265,Jiangning Road
1629,2164382,Huinan
1138,2153833,Taopu Xincun
749,2134812,South Yanggao Road
2018,2129509,Siping Road
1155,2118830,Sanlin
2007,2118543,Damuqiao Road
1225,2097258,Hongcao Road
136,2079327,Bao'an Highway
1243,2073771,Longchang Road
822,2063555,Jiangyue Road
251,2036335,Century Park
1141,2008131,Liziyuan
849,2007346,Shiguang Road
1047,1997044,Yili Road
845,1991145,Middle Yanji Road
2057,1989608,Longde Road
1220,1989456,Qixin Road
331,1985674,South Changjiang Road
837,1982343,Zhongxing Road
844,1978098,Huangxing Road
415,1967573,Yangshupu Road
1329,1966387,Wuning Road
509,1925317,Dongchuan Road
753,1924337,Huamu Road
2022,1917752,Jinhai Road
1062,1912117,Tongji University
2004,1904404,Jufeng Road
721,1885580,Meilan Lake
1159,1875387,Yuqiao
1224,1874315,Hongmei Road
1144,1868605,Fengqiao Road
727,1850062,Shanghai University
1134,1834751,Jiading New City
327,1820427,Chifeng Road
1020,1812832,Longbai Xincun
821,1807235,Lianhang Road
1063,1789503,Guoquan Road
112,1788784,Waihuanlu
1241,1774914,Jiangpu Park
505,1748561,Zhuanqiao
1323,1734126,Fengzhuang
124,1732153,Xinzha Road
735,1715855,Langao Road
1625,1711900,Hesha Hangcheng
1046,1706982,Shuicheng Road
842,1688995,Anshan Xincun
639,1683997,Boxing Road
2030,1671941,Baoshan Road
745,1656067,Changqing Road
325,1654173,Dongbaoxing Road
421,1648266,Nanpu Bridge
1624,1639491,East Zhoupu
1048,1624246,Songyuan Road
134,1622180,Hulan Road
1140,1612532,Qilianshan Road
636,1609794,Deping Road
1161,1581999,Xiuyan Road
730,1577967,Changzhong Road
637,1541781,Yunshan Road
848,1538010,Nenjiang Road
920,1533379,Songjiang Sports Center
263,1527288,Pudong International Airport
823,1507635,Pujiang Town
1150,1506652,Shanghai Swimming Center
1060,1492350,Youdian Xincun
507,1486808,Beiqiao
921,1470007,Songjiang New City
1132,1462985,West Jiading
1156,1462390,East Sanlin
258,1455501,East Huaxia Road
2012,1449776,Longhua
1117,1448055,Anting
2023,1432287,West Gaoke Road
1051,1418755,Shanghai Library
640,1415074,Wulian Road
1114,1405409,Huaqiao
1135,1394956,Malu
1163,1365639,Disney Resort
1246,1351199,Donglu Road
830,1319363,China Art Museum
633,1294013,Yuanshen Sports Center
1627,1293836,Xinchang
1238,1279386,International Cruise Terminal
1244,1279174,Aiguo Road
1249,1277528,Jinjing Road
1226,1274613,Guilin Park
1068,1265096,New Jiangwan City
1018,1265025,Hangzhong Road
1157,1246167,Pusan Road
312,1242623,Shilong Road
847,1233195,Xiangyin Road
119,1232648,Hengshan Road
628,1224452,Linyi Xincun
726,1211043,Qihua Road
747,1206132,Yuntai Road
1143,1169132,Zhenru
1239,1159355,Tilanqiao
634,1141217,Minsheng Road
923,1133530,Dongjing
510,1132926,Jingping Road
724,1127360,Liu Hang
1133,1126400,Baiyin Road
722,1109187,Luonan Xincun
626,1107447,Dongming Road
927,1105182,Zhongchun Road
334,1103350,Songbin Road
635,1100240,Beiyangjing Road
1248,1093164,North Yanggao Road
1044,1092525,Shanghai Zoo
508,1089917,Jianchuan Road
625,1086171,Gaoqing Road
629,1072013,Shanghai Children's Medical Center
337,1052426,Youyi Road
1045,1045651,Longxi Road
1116,1038199,Zhaofeng Road
